文案ID,原标题,热点类型,账号适配,普通人相关度,冲突强度,利益或风险强度,评论空间,热点剩余时效,今日爆款评分,平台扶持评分,双线生产适配,今日优先级,来源标签,入选理由
2026-07-29_轻资产普通人创业_81553c31,轻资产普通人创业,副业创业,高,高,高,高,中,长,92,78,YES,P1,确认S+·92分；素材质量78·可用,今日爆款评分高，素材质量可用，账号适配高，适合A/B双线错峰发布
2026-07-29_轻资产普通人创业_d6425301,轻资产普通人创业,副业创业,高,高,高,高,中,长,92,78,YES,P1,确认S+·92分；素材质量78·可用,今日爆款评分高，素材质量可用，账号适配高，适合A/B双线错峰发布
2026-07-29_女子修手机被店主导出40多张私密照_fc39ff43,女子修手机被店主导出40多张私密照,大众民生,高,高,高,高,高,中,92,76,YES,P1,确认S+·92分；今日头条热榜Top1·含雷达文案详情,S+且今日头条热榜Top1，已补采雷达/文案详情，隐私泄露和普通人维权冲突强，有明确代入和评论空间，适合今日爆款A/B测试
2026-07-29_中国科技省份增长更快但消费没有同步跟上_8c39fe33,中国科技省份增长更快但消费没有同步跟上,中国经济,高,中,中,高,中,长,78,82,NO,P2,官方扶持·手动准入·素材质量82可用·含雷达文案详情,官方扶持手动准入，已补采雷达/文案详情，素材质量82可用，适合做一篇A线观点稿测试平台扶持方向，但双线差异空间一般
2026-08-05_独子去世母亲要求继承87个游戏账号_c896b0f2,独子去世母亲要求继承87个游戏账号,大众民生,高,高,高,高,高,中,94,72,YES,P1,确认S+·94分·今日爆点·详情页含雷达文案·详情爆款指数重点推72分,S+且详情页素材完整、冲突结构清楚、普通人代入强，适合进入A稿到其他题到B稿的双线生产。
2026-08-05_1人操控100个账号把旅游搭子骗去新疆_3e7fbbbc,1人操控100个账号把旅游搭子骗去新疆,大众民生,高,高,中,高,高,中,96,46,NO,P2,确认S+·96分·今日爆点·详情页含雷达文案·详情爆款指数淘汰46分,站内列表为S+第一但详情辅助判断显示冲突不足且爆款指数淘汰46分，适合先走A线保守测试，不建议双线复刻。
2026-08-08_搬家报价570元-要5060元才肯上楼_f1c9769f,搬家报价570元 要5060元才肯上楼,消费维权,PASS,PASS,PASS,PASS,详情页含完整事件说明、平台回应、律师意见，事实素材标注完整；律师可能涉嫌强迫交易罪为引述意见非我方断言，未指名具体商家，无需补编事实即可成文；来源日期即当天,PASS,高,高,高,高,89,确认S·89分·今日爆点·百度热搜·爆款指数正常推70分,P1,搬家是近乎全民都可能遇到的场景，570→5060具体可感知，冲突一句话讲清（说好起步价现场加价8倍），讨论分歧明确（该不该收楼层/工时费 vs 坐地起价），四项内部排序均为高，三条候选中综合最强
2026-08-08_河南三支一扶笔试将重考_368d8c21,河南三支一扶笔试将重考,职场/考试,PASS,PASS,PASS,PASS,河南省人社厅官方公告为主要事实来源，规模性作弊、成绩取消、8月22日重考、交通补贴均为公告内容，事实边界清楚，无需补编；无法律安全风险，不涉及未核实指控,PASS,中,中,高,高,88,确认S·88分·今日爆点·今日头条热榜Top4·爆款指数正常推70分,P2,十几万考生直接利益重大但对头条大众读者相关度不如全民场景广，冲突集中易懂（作弊拖累诚信考生重考），讨论张力强（该不该全部重考），综合排在搬家之后
2026-08-08_辅助驾驶-自动驾驶-高速上方向盘脱手用智驾男子被处罚_8cf74b8f,辅助驾驶≠自动驾驶：高速上方向盘脱手用智驾男子被处罚,大众民生,PASS,PASS,PASS,PASS,事件说明具体（8月8日京沪高速、无人机抓拍、记3分罚200、嘉定交警传唤司机魏某），事实素材标注完整，无需补编；来源标签写作专业财经商业线索但内容属交通执法通报，性质不冲突；无法律安全风险,PASS,中,中,中,中,66,确认S·89分·今日爆点·专业财经商业线索·爆款指数可发不推66分,P3,受众局限于智驾车主群体，处罚金额不大，来源系统自身标注冲突不足、认知落差9/25偏低、爆款指数为可发不推66分，三条候选中综合排序最后，仍可发但不优先占位
2026-08-09_司机捡手机索1888元还威胁拔卡_64f087b7,司机捡手机索1888元还威胁拔卡,大众民生/出行维权,PASS,PASS,PASS,PASS,G1:雷达池文件含完整终审五段结构+创作任务单，非仅列表卡片。G2:核心事实明确（苏州到嘉兴顺风车、下车遗落手机、司机先否认后被定位找到、索要1888元、威胁拔卡、滴滴协商中、乘客已报警拟起诉），无需自行补事实。G3:素材本身已用'涉嫌敲诈''警方介入''协商中'等未定性表述，不点名司机真实身份、不预判司法结果，风险可控。G4:来源日期2026-08-09与今日日期一致，仍在发布窗口内。,PASS,高,高,高,中,54,确认S·85分·今日爆点·360热搜·详情页含雷达文案·爆款指数淘汰54分（外部信号仅供排序参考，不构成不发依据）,P1,四项Gate均PASS，内部排序R1-R3为高（普通人打车丢物场景强代入、1888元具体金额、司机索酬+威胁拔卡冲突一句话说清），R4为中（是否该付酬金存在讨论空间但非纯情绪站队）；当日唯一完整入池候选，无同日竞品需比较，按内部排序独立给P1。外部'淘汰54分'仅作参考记录，不作为不发或降级依据。
