schema_version,label_status,toutiao_group_id,title,accountability_target_clear,positionable_sides_present,reader_stake_link_explicit,evidence_note
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7666993006314029614,TikTok允许用户降低AI内容比例,FALSE,TRUE,TRUE,无具体负面归责对象；机器化账号vs真人创作者/用户得失清楚；末段明确普通用户变化
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7666992183194468910,TikTok开始识别AI批量垃圾账号,FALSE,TRUE,TRUE,无具体负面归责；模板账号vs原创创作者得失清楚；有普通用户变化段落
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7666989719011590707,能源成本上涨企业不敢提价,FALSE,TRUE,TRUE,系统性成本传导无具体担责方；企业vs消费者得失清楚；末尾直接提问消费选择
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7666987528389444147,KFC必胜客靠折扣恢复增长,FALSE,TRUE,TRUE,无负面归责对象；大品牌vs小店得失对比清楚；面向小老板具体建议
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7666985905302946342,消费贷款违约创新高,FALSE,FALSE,TRUE,无具体归责对象；借款人单侧描述，无另一方得失对比；直接提问消费/借钱选择
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7666984421840568841,中国线上餐饮增长13.9%,FALSE,FALSE,FALSE,无归责对象；无清晰双方对比；主要面向餐饮老板，非普通读者桥接
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7666344828266922534,24批次食品不合格,FALSE,FALSE,TRUE,监管通报无具体企业被归责；无双方对比；直接建议消费者行动
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7666343043691282982,亚马逊最高退51美元自动续费,TRUE,TRUE,TRUE,平台设计诱导续费机制被归责；平台vs用户得失清楚；给出具体检查清单
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7666341207500522022,携程被罚没51.79亿元,TRUE,TRUE,TRUE,携程垄断行为被处罚，归责明确；平台/酒店/消费者三方得失清楚；直接提问订酒店习惯
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7666019724131697198,8年质保到期后电车车主才发现,FALSE,FALSE,TRUE,无具体归责对象；无双方对比，只是车主面对的成本清单；直接给车主建议
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7666014650042974758,317万年终奖截图传出去后被辞退,TRUE,TRUE,TRUE,员工泄密行为与被辞退结果归责清楚；员工vs公司得失对比清楚；职场人具体边界建议
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665687195461763635,贵州遵义查处抠脚汉扮美女卖酒,TRUE,TRUE,TRUE,涉事公司被查处，归责明确；消费者vs公司得失清楚；给出识别信号建议
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665685512618770990,68元请香结账变952元,TRUE,TRUE,TRUE,商行诱导消费被罚，归责明确；消费者vs商家得失清楚；给出维权步骤
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665688037468258866,自驾新能源汽车跨境遭远程锁车,FALSE,TRUE,TRUE,客服口径不一致，责任未明确认定；车主vs品牌得失对比清楚；给出出境前建议
