文案ID,标题,热点类型,来源日期,来源栏目,来源链接,来源标签,保存路径,内容哈希,保存时间
2026-07-29_轻资产普通人创业_81553c31,轻资产普通人创业,副业创业,2026-07-29,今日爆点,,确认S+·92分；素材质量78·可用,/Users/huangsheng/Documents/今日头条/data/radar_pool/2026-07-29_轻资产普通人创业_81553c31.radar.md,81553c314a2e,2026-07-29 02:30:30
2026-07-29_中国科技省份增长更快但消费没有同步跟上_aa3c9759,中国科技省份增长更快但消费没有同步跟上,中国经济,2026-07-29,官方扶持,https://www.soloapi.cn/#official,官方扶持·手动准入·素材质量82可用·含雷达文案详情,/Users/huangsheng/Documents/今日头条/data/radar_pool/2026-07-29_中国科技省份增长更快但消费没有同步跟上_aa3c9759.radar.md,aa3c97598a68,2026-07-29 11:32:03
2026-07-29_女子修手机被店主导出40多张私密照_cec09919,女子修手机被店主导出40多张私密照,大众民生,2026-07-29,今日爆点,https://www.soloapi.cn/#hot,确认S+·92分；今日头条热榜Top1·含雷达文案详情,/Users/huangsheng/Documents/今日头条/data/radar_pool/2026-07-29_女子修手机被店主导出40多张私密照_cec09919.radar.md,cec099190063,2026-07-29 11:33:29
2026-08-05_1人操控100个账号把旅游搭子骗去新疆_06d49e38,1人操控100个账号把旅游搭子骗去新疆,大众民生,2026-08-05,今日爆点,https://www.soloapi.cn/,确认S+·96分·含雷达文案详情·详情爆款指数淘汰46分,/Users/huangsheng/Documents/今日头条/data/radar_pool/2026-08-05_1人操控100个账号把旅游搭子骗去新疆_06d49e38.radar.md,06d49e3857a0,2026-08-05 00:04:07
2026-08-05_独子去世母亲要求继承87个游戏账号_59b32704,独子去世母亲要求继承87个游戏账号,大众民生,2026-08-05,今日爆点,https://www.soloapi.cn/,确认S+·94分·含雷达文案详情·详情爆款指数重点推72分,/Users/huangsheng/Documents/今日头条/data/radar_pool/2026-08-05_独子去世母亲要求继承87个游戏账号_59b32704.radar.md,59b327048362,2026-08-05 00:04:07
2026-08-08_搬家报价570元-要5060元才肯上楼_0117dc09,搬家报价570元 要5060元才肯上楼,消费维权,2026-08-08,今日爆点,https://www.soloapi.cn/,确认S·89分·今日爆点·百度热搜·详情页含雷达文案·爆款指数正常推70分,/Users/huangsheng/Documents/今日头条/jinritoutiao/data/radar_pool/2026-08-08_搬家报价570元-要5060元才肯上楼_0117dc09.radar.md,0117dc091a0d,2026-08-08 21:50:48
2026-08-08_辅助驾驶-自动驾驶-高速上方向盘脱手用智驾男子被处罚_8571fcc5,辅助驾驶≠自动驾驶：高速上方向盘脱手用智驾男子被处罚,大众民生,2026-08-08,今日爆点,https://www.soloapi.cn/,确认S·89分·今日爆点·专业财经商业线索·详情页含雷达文案·爆款指数正常推70分,/Users/huangsheng/Documents/今日头条/jinritoutiao/data/radar_pool/2026-08-08_辅助驾驶-自动驾驶-高速上方向盘脱手用智驾男子被处罚_8571fcc5.radar.md,8571fcc56a5f,2026-08-08 21:50:48
2026-08-08_河南三支一扶笔试将重考_df05e3c8,河南三支一扶笔试将重考,职场/考试,2026-08-08,今日爆点,https://www.soloapi.cn/,确认S·88分·今日爆点·今日头条热榜Top4·详情页含雷达文案·爆款指数正常推70分,/Users/huangsheng/Documents/今日头条/jinritoutiao/data/radar_pool/2026-08-08_河南三支一扶笔试将重考_df05e3c8.radar.md,df05e3c87448,2026-08-08 21:50:48
2026-08-09_司机捡手机索1888元还威胁拔卡_ff3c6934,司机捡手机索1888元还威胁拔卡,大众民生/出行维权,2026-08-09,今日爆点,https://www.soloapi.cn/,确认S·85分·今日爆点·360热搜·详情页含雷达文案·爆款指数淘汰54分,/Users/huangsheng/Documents/今日头条/jinritoutiao/data/radar_pool/2026-08-09_司机捡手机索1888元还威胁拔卡_ff3c6934.radar.md,ff3c6934cc6e,2026-08-09 00:25:19
2026-08-19_学霸父母劝690分女儿读中职_866c589d,学霸父母劝690分女儿读中职,教育,2026-08-19,今日爆点,https://www.soloapi.cn/,确认S+ · 95分；素材日期 2026-08-19；含复制创作提示词+雷达/文案详情,/Users/huangsheng/Documents/今日头条/jinritoutiao/data/radar_pool/2026-08-19_学霸父母劝690分女儿读中职_866c589d.radar.md,866c589dcaa9,2026-08-19 00:00:56
