schema_version,label_status,toutiao_group_id,title,topic_category,structural_form,title_has_number,title_is_question,title_has_direct_person,stakes_has_specific_amount_or_quantity,stakes_has_action_advice,evidence_note
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7666993006314029614,TikTok允许用户降低AI内容比例，真正变化的是流量由谁决定！,科技/国际,解读/分析,FALSE,FALSE,TRUE,TRUE,TRUE,标题含读者/人群指向；正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7666992183194468910,TikTok开始识别AI批量垃圾账号，真正被淘汰的可能不是AI,科技/国际,解读/分析,FALSE,FALSE,FALSE,TRUE,TRUE,正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7666989719011590707,能源成本上涨，但企业不敢向消费者提价？,宏观经济/行业数据,解读/分析,FALSE,TRUE,TRUE,TRUE,TRUE,标题设问；标题含读者/人群指向；正文含具体数量/金额后果
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7666987528389444147,KFC和必胜客靠折扣恢复增长，但低价不能直接复制！,企业/商业动态,解读/分析,FALSE,FALSE,FALSE,TRUE,TRUE,正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7666985905302946342,消费贷款违约创新高，低收入用户正在主动缩减需求！,宏观经济/行业数据,解读/分析,FALSE,FALSE,TRUE,TRUE,TRUE,标题含读者/人群指向；正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7666984421840568841,中国线上餐饮增长13.9%，餐饮入口继续向数字渠道迁移！,宏观经济/行业数据,解读/分析,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7666344828266922534,24批次食品不合格，别等吃进嘴才知道,消费/维权,解读/分析,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7666343043691282982,亚马逊最高退51美元：自动续费该查了,消费/维权,案例叙事,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7666341207500522022,携程被罚没51.79亿元：你订酒店时看到的“最低价”到底谁说了算,消费/维权,解读/分析,TRUE,FALSE,TRUE,TRUE,TRUE,标题含数字；标题设问；标题含读者/人群指向
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7666019724131697198,8年质保到期后，电车车主才发现：最贵的可能不是买车,消费/维权,解读/分析,TRUE,FALSE,TRUE,TRUE,TRUE,标题含数字；标题含读者/人群指向；正文含具体数量/金额后果
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7666014650042974758,317万年终奖截图传出去后被辞退：职场人真正该怕的不是炫富,职场/收入,案例叙事,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665687195461763635,贵州遵义多部门查处抠脚汉扮美女卖酒涉事公司！,消费/维权,事件通报/新闻转述,FALSE,FALSE,FALSE,TRUE,TRUE,正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665685512618770990,68元请香结账变952元，湖南衡阳通报涉事商行罚款4000元，停业7天,消费/维权,案例叙事,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665688037468258866,自驾新能源汽车跨境遭远程锁车超30小时，车主称事前未提醒！,消费/维权,案例叙事,TRUE,FALSE,TRUE,TRUE,TRUE,标题含数字；标题含读者/人群指向；正文含具体数量/金额后果
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665609271308763675,特斯拉营收增长26%，利润却下降：卖得更多，为什么赚钱更难？,企业/商业动态,解读/分析,TRUE,TRUE,FALSE,TRUE,TRUE,标题含数字；标题设问；正文含具体数量/金额后果
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665608481654784539,亚马逊裁减AGI团队岗位，AI研发开始接受业务优先级审查！,科技/国际,解读/分析,FALSE,FALSE,FALSE,TRUE,TRUE,正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665607329580155442,年轻人为何少喝康师傅？,企业/商业动态,解读/分析,FALSE,TRUE,TRUE,TRUE,TRUE,标题设问；标题含读者/人群指向；正文含具体数量/金额后果
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665606245226643978,多款高端手机涨价超1000元：新机越来越贵，还需要年年换吗？,消费/维权,解读/分析,TRUE,TRUE,FALSE,TRUE,TRUE,标题含数字；标题设问；正文含具体数量/金额后果
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665604390824264218,净网：网警发布20起涉汛涉灾谣言案例！,社会民生/案件,事件通报/新闻转述,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665580670458380850,求职者因过往民事诉讼被大厂拒聘，过度背调引争议！,职场/收入,案例叙事,FALSE,FALSE,TRUE,TRUE,TRUE,标题含读者/人群指向；正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665251613124067875,TikTok Shop开始亲自替商家做运营，代运营行业可能被平台吞掉！,企业/商业动态,解读/分析,FALSE,FALSE,TRUE,TRUE,TRUE,标题含读者/人群指向；正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665250423296623139,上半年全国城镇新增就业695万人，同比持平！,宏观经济/行业数据,解读/分析,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665246616202265123,外卖补贴监管进入落地窗口，餐饮流量战将从补贴转向利润核算,企业/商业动态,解读/分析,FALSE,FALSE,FALSE,TRUE,TRUE,正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665243979377689123,国家消费规划明确支持地域餐饮品牌和美食产业集群！,宏观经济/行业数据,事件通报/新闻转述,FALSE,FALSE,FALSE,TRUE,TRUE,正文含具体数量/金额后果；正文含行动建议或判断指令
